,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,14.9,19.37,21.12,20.75,23.89,23.89,31.9,33.46,35.97,33.87,34.46,30.17,29.76
Expenses,11.52,15.08,15.39,14.71,18.19,17.87,25.04,25.67,27.06,24.48,24.26,21.66,20.61
Operating Profit,3.38,4.29,5.73,6.04,5.7,6.02,6.86,7.79,8.91,9.39,10.2,8.51,9.15
OPM %,22.68,22.15,27.13,29.11,23.86,25.2,21.5,23.28,24.77,27.72,29.6,28.21,30.75
Other Income,0.02,0.2,0.07,0.27,0.94,1.04,0.8,0.93,0.44,0.22,0.28,0.14,0.14
Interest,0.19,0.19,0.05,-0.0,0.06,0.22,0.36,0.28,0.27,0.26,0.13,0.04,0.05
Depreciation,0.53,0.54,0.56,0.56,0.55,0.61,0.63,0.61,0.63,0.66,0.64,0.67,0.68
Profit before tax,2.68,3.76,5.19,5.75,6.03,6.23,6.67,7.83,8.45,8.69,9.71,7.94,8.56
Tax %,29.48,29.79,21.39,25.57,24.54,26.32,22.79,25.67,25.8,25.09,25.44,25.06,26.52
Net Profit,1.9,2.64,4.08,4.28,4.55,4.59,5.15,5.82,6.27,6.51,7.24,5.95,6.29
EPS in Rs,0.95,1.31,1.87,1.96,2.09,2.11,2.36,2.67,2.88,2.99,3.15,2.59,2.74
