,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Reserves,4.37,4.54,4.59,4.31,4.93,5.72,7.32,8.55,8.51,8.54
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,0.75,0.55,0.55,0.63,0.68,0.6900000000000001,1.06,1.4,1.12,1.17
Total Liabilities,10.12,10.09,10.14,9.94,10.61,11.41,13.38,14.95,14.63,14.71
Fixed Assets,0.12,0.04,0.09,0.08,0.08,0.07,0.07,0.06,0.06,0.05
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,2.84,2.88,2.9,2.81,3.38,3.98,4.47,4.65,4.84,4.88
Other Assets,7.16,7.17,7.15,7.05,7.15,7.36,8.84,10.24,9.73,9.78
Total Assets,10.12,10.09,10.14,9.94,10.61,11.41,13.38,14.95,14.63,14.71
