,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
Reserves,-3.17,-16.84,-31.47,1.17,18.5,13.51,9.08,7.63
Borrowings,54.89,66.94,90.12,99.6,74.74,79.85,126.63,136.81
Other Liabilities,14.16,18.85,24.29,51.33,19.08,18.92,20.57,19.2
Total Liabilities,68.38,71.45,85.44,154.6,114.82,114.78,158.78,166.14
Fixed Assets,27.15,29.1,39.45,46.74,45.68,45.17,48.58,58.21
CWIP,0.06,1.58,0.49,0.11,5.88,19.35,51.86,53.38
Investments,0.06,0.0,1.03,2.13,8.18,4.63,3.26,6.69
Other Assets,41.11,40.77,44.47,105.62,55.08,45.63,55.08,47.86
Total Assets,68.38,71.45,85.44,154.6,114.82,114.78,158.78,166.14
