,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,68.22,50.26,54.16,77.56,56.96,53.15,19.64,14.63,10.57,9.28,1.38
Expenses,67.14,51.79,53.9,75.22,55.95,56.03,24.05,19.3,15.09,14.08,5.74
Operating Profit,1.08,-1.53,0.26,2.34,1.01,-2.88,-4.41,-4.67,-4.52,-4.8,-4.36
OPM %,1.58,-3.04,0.48,3.02,1.77,-5.42,-22.45,-31.92,-42.76,-51.72,-315.94
Other Income,0.11,1.71,0.74,0.67,0.61,1.02,1.27,1.14,10.89,3.98,0.48
Interest,0.57,0.74,0.57,1.42,1.21,1.28,1.33,1.71,1.46,0.12,0.09
Depreciation,0.55,0.89,0.67,0.46,0.56,0.64,0.63,0.6,0.58,0.53,0.37
Profit before tax,0.07,-1.45,-0.24,1.13,-0.15,-3.78,-5.1,-5.84,4.33,-1.47,-4.34
Tax %,71.43,24.83,25.0,35.4,-80.0,31.75,31.18,25.34,7.62,121.09,
Net Profit,0.01,-1.08,-0.18,0.74,-0.27,-2.58,-3.51,-4.36,4.0,0.31,-3.22
EPS in Rs,0.03,-3.21,-0.54,2.2,-0.8,-7.67,-10.44,-12.97,11.9,0.92,-9.58
