,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5.37,5.37,5.37,5.37,5.37,5.37,5.37,5.37,1.61,1.61,1.61,1.61,1.61
Reserves,-2.8200000000000003,-2.8200000000000003,-2.8200000000000003,-2.8,-3.28,-3.35,-3.44,-3.52,0.15,0.05,-0.38,6.33,6.01
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,4.2,4.8100000000000005,4.97
Other Liabilities,2.8200000000000003,2.17,1.22,1.1,0.02,0.01,0.02,0.03,0.12,0.05,0.01,0.03,0.03
Total Liabilities,5.37,4.72,3.77,3.67,2.11,2.03,1.95,1.88,1.88,1.91,5.44,12.78,12.62
Fixed Assets,1.62,1.51,1.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.3,0.39,0.55,2.15,1.8,1.55,1.55,1.54,1.54,1.54,5.0,12.04,12.04
Other Assets,3.45,2.8200000000000003,1.71,1.52,0.31,0.48,0.4,0.34,0.34,0.37,0.44,0.74,0.58
Total Assets,5.37,4.72,3.77,3.67,2.11,2.03,1.95,1.88,1.88,1.91,5.44,12.78,12.62
