,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.19
Reserves,-18.44,-18.23,-17.95,-17.96,-17.96,-17.96,-17.95,-17.92,-17.85,-17.8,-17.8,-17.8,-17.2
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Liabilities,2.02,1.72,1.42,1.37,1.26,1.21,1.2,1.15,1.14,1.03,1.06,1.02,1.03
Total Liabilities,0.38,0.29,0.27,0.21,0.1,0.05,0.05,0.03,0.09,0.03,0.06,0.02,0.02
Fixed Assets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,0.38,0.29,0.27,0.21,0.1,0.05,0.05,0.03,0.09,0.03,0.06,0.02,0.02
Total Assets,0.38,0.29,0.27,0.21,0.1,0.05,0.05,0.03,0.09,0.03,0.06,0.02,0.02
