,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.16,0.14,0.36,0.34,0.75,0.58,0.52,0.4,0.38,0.46,0.54,0.21,0.14
Expenses,0.21,0.25,0.22,0.27,0.65,0.38,0.35,0.32,0.28,0.4,0.49,0.19,0.26
Operating Profit,-0.05,-0.11,0.14,0.07,0.1,0.2,0.17,0.08,0.1,0.06,0.05,0.02,-0.12
OPM %,-31.25,-78.57,38.89,20.59,13.33,34.48,32.69,20.0,26.32,13.04,9.26,9.52,-85.71
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.00
Interest,0.0,0.0,0.0,0.0,0.01,0.1,0.12,0.1,0.11,0.1,0.0,0.0,0.00
Depreciation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Profit before tax,-0.05,-0.11,0.14,0.07,0.09,0.1,0.05,-0.02,-0.01,-0.04,0.05,0.05,-0.12
Tax %,0.0,0.0,21.43,28.57,33.33,30.0,80.0,50.0,-500.0,-75.0,140.0,60.0,
Net Profit,-0.05,-0.11,0.11,0.04,0.06,0.07,0.01,-0.01,-0.06,-0.06,-0.02,0.02,-0.15
EPS in Rs,-2.5,-5.5,5.5,2.0,0.6,0.7,0.1,-0.1,-0.6,-0.6,-0.2,0.2,-1.50
