,Mar 2011,Mar 2012,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,6.0,80.0,141.0,137.0,148.0,631.0,1028.0,1029.0,1186
Expenses,6.0,80.0,138.0,133.0,144.0,620.0,1010.0,1009.0,1160
Operating Profit,0.0,0.0,3.0,3.0,4.0,11.0,18.0,19.0,26
OPM %,0.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2
Other Income,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,5
Interest,0.0,0.0,2.0,2.0,2.0,4.0,4.0,7.0,8
Depreciation,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1
Profit before tax,0.0,0.0,1.0,2.0,2.0,7.0,14.0,21.0,22
Tax %,33.0,32.0,33.0,32.0,28.0,28.0,29.0,35.0,
Net Profit,0.0,0.0,1.0,1.0,1.0,5.0,10.0,14.0,18
EPS in Rs,0.0,0.03,0.05,0.04,0.04,0.18,0.36,0.49,0.65
