,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,160.0,171.0,150.0,140.0,141.0,126.0,124.0,120.0,119.0,128.0,126.0,140.0,127.0
Expenses,116.0,119.0,120.0,129.0,136.0,134.0,134.0,151.0,159.0,156.0,162.0,165.0,253.0
Operating Profit,44.0,52.0,30.0,12.0,5.0,-8.0,-10.0,-31.0,-40.0,-29.0,-36.0,-25.0,-127.0
OPM %,27.0,30.0,20.0,8.0,4.0,-7.0,-8.0,-26.0,-34.0,-22.0,-28.0,-18.0,-100.0
Other Income,5.0,3.0,3.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0
Interest,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0
Depreciation,17.0,17.0,17.0,19.0,19.0,19.0,19.0,19.0,20.0,21.0,20.0,22.0,21.0
Profit before tax,29.0,36.0,15.0,-6.0,-11.0,-27.0,-29.0,-50.0,-62.0,-51.0,-57.0,-48.0,-148.0
Tax %,42.0,50.0,50.0,-45.0,-13.0,7.0,9.0,-1.0,2.0,2.0,20.0,3.0,1.0
Net Profit,17.0,18.0,7.0,-9.0,-13.0,-25.0,-26.0,-51.0,-60.0,-50.0,-45.0,-47.0,-146.0
EPS in Rs,5.45,5.83,2.4,-2.91,-4.2,-8.18,-8.56,-16.45,-19.57,-16.31,-12.94,-13.27,-41.3
