,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,179.0,370.0,269.0,263.0,259.0,397.0,540.0,372.0,340.0,417.0,576.0,557.0,582.0
Expenses,168.0,297.0,256.0,183.0,347.0,291.0,432.0,283.0,275.0,328.0,481.0,400.0,401.0
Operating Profit,11.0,74.0,13.0,80.0,-88.0,106.0,108.0,89.0,65.0,89.0,96.0,157.0,181.0
OPM %,6.0,20.0,5.0,30.0,-34.0,27.0,20.0,24.0,19.0,21.0,17.0,28.0,31.0
Other Income,44.0,37.0,65.0,39.0,180.0,33.0,70.0,37.0,48.0,52.0,1319.0,37.0,41.0
Interest,83.0,79.0,82.0,83.0,83.0,115.0,93.0,87.0,91.0,95.0,89.0,40.0,46.0
Depreciation,8.0,7.0,8.0,7.0,8.0,8.0,9.0,10.0,10.0,11.0,11.0,11.0,12.0
Profit before tax,-36.0,24.0,-12.0,29.0,1.0,16.0,76.0,29.0,12.0,34.0,1314.0,143.0,164.0
Tax %,-46.0,-101.0,838.0,2.0,-4013.0,88.0,163.0,71.0,-362.0,67.0,18.0,26.0,26.0
Net Profit,-53.0,49.0,86.0,28.0,58.0,2.0,-48.0,8.0,55.0,11.0,1078.0,105.0,121.0
EPS in Rs,-5.9,4.34,11.53,4.33,7.0,-0.45,-7.46,0.68,7.51,0.98,155.65,14.64,16.28
