,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,29.91,38.93,37.84,38.18,33.22,41.86,41.68,46.16,33.39,28.01,36.14,39.57,51.89
Expenses,24.65,32.57,33.33,33.72,29.88,36.66,36.38,41.39,32.64,28.31,36.01,39.81,52.19
Operating Profit,5.26,6.36,4.51,4.46,3.34,5.2,5.3,4.77,0.75,-0.3,0.13,-0.24,-0.30
OPM %,17.59,16.34,11.92,11.68,10.05,12.42,12.72,10.33,2.25,-1.07,0.36,-0.61,-0.58
Other Income,0.02,-0.08,-0.01,0.04,0.03,0.18,0.05,0.04,0.03,0.02,0.03,0.01,0.06
Interest,0.44,0.44,0.41,0.54,0.44,0.34,0.24,0.23,0.36,0.14,0.13,0.29,0.35
Depreciation,0.37,0.4,0.59,0.65,0.56,0.66,0.81,0.86,0.84,0.79,0.67,0.6,0.60
Profit before tax,4.47,5.44,3.5,3.31,2.37,4.38,4.3,3.72,-0.42,-1.21,-0.64,-1.12,-1.19
Tax %,32.21,36.4,32.86,33.23,38.82,31.96,26.28,23.92,80.95,33.06,-64.06,-20.54,
Net Profit,3.03,3.46,2.35,2.22,1.45,2.98,3.16,2.84,-0.08,-0.82,-1.06,-1.35,-1.43
EPS in Rs,5.61,6.41,4.38,4.13,2.7,5.55,5.88,5.29,-0.15,-1.53,-1.97,-2.51,-2.66
