,Mar 2011,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,4.80,18.06,25.71,26.71,38.89,40.93,38.67,41.85,31.68,32.09,30.94,29.5,30.94
Expenses,6.84,14.38,21.11,22.41,33.69,36.82,36.48,41.11,28.11,33.99,27.55,24.13,27.73
Operating Profit,-2.04,3.68,4.6,4.3,5.2,4.11,2.19,0.74,3.57,-1.9,3.39,5.37,3.21
OPM %,-42.50,20.38,17.89,16.1,13.37,10.04,5.66,1.77,11.27,-5.92,10.96,18.2,10.37
Other Income,1.26,0.40,0.5,0.37,0.78,0.59,1.84,3.29,1.58,10.16,5.04,1.53,3.31
Interest,0.02,0.00,0.03,0.01,0.91,1.71,1.95,1.89,2.88,5.2,5.08,4.44,4.02
Depreciation,0.81,0.76,0.76,0.64,0.39,0.41,0.42,0.46,0.99,2.13,1.95,2.06,2.05
Profit before tax,-1.61,3.32,4.31,4.02,4.68,2.58,1.66,1.68,1.28,0.93,1.4,0.4,0.45
Tax %,31.68,24.40,41.07,42.54,54.49,53.49,-62.65,-7.74,67.19,39.78,-14.29,512.5,
Net Profit,-1.10,2.51,2.53,2.31,2.12,1.21,2.71,1.81,0.42,0.55,1.6,-1.65,-0.77
EPS in Rs,,,2.39,2.18,2.0,1.14,2.56,1.71,0.4,0.52,1.51,-1.56,-0.73
