,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,13.78,13.45,13.07,8.58,9.46,13.53,13.17,15.86,14.55,11.32,11.09,11.1,10.85
Expenses,11.8,11.74,13.46,7.83,8.73,12.56,12.21,14.46,13.51,10.69,10.27,10.72,10.46
Operating Profit,1.98,1.71,-0.39,0.75,0.73,0.97,0.96,1.4,1.04,0.63,0.82,0.38,0.39
OPM %,14.37,12.71,-2.98,8.74,7.72,7.17,7.29,8.83,7.15,5.57,7.39,3.42,3.59
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.02,-0.01,0.01,0.0
Interest,0.6,0.5,0.66,0.66,0.43,0.46,0.71,0.45,0.6,0.51,0.74,0.58,0.56
Depreciation,0.54,0.56,0.56,0.47,0.49,0.45,0.49,0.38,0.38,0.41,0.42,0.42,0.42
Profit before tax,0.84,0.65,-1.61,-0.38,-0.19,0.06,-0.24,0.58,0.06,-0.27,-0.35,-0.61,-0.59
Tax %,-5.95,-7.69,3.11,-210.53,-26.32,-100.0,404.17,20.69,-183.33,14.81,-8.57,68.85,-25.42
Net Profit,0.9,0.7,-1.55,-1.18,-0.24,0.12,0.73,0.46,0.17,-0.22,-0.38,-0.2,-0.74
EPS in Rs,0.89,0.69,-1.53,-1.17,-0.24,0.12,0.73,0.46,0.17,-0.22,-0.38,-0.2,-0.74
