,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,15.77,11.97,11.09,11.83,15.5,18.7,21.0,22.54,12.26,14.59,33.6,34.73
Expenses,14.82,11.01,9.98,10.52,14.12,17.13,18.93,19.65,14.36,13.76,31.63,31.02
Operating Profit,0.95,0.96,1.11,1.31,1.38,1.57,2.07,2.89,-2.1,0.83,1.97,3.71
OPM %,6.02,8.02,10.01,11.07,8.9,8.4,9.86,12.82,-17.13,5.69,5.86,10.68
Other Income,0.07,0.05,0.05,0.1,0.11,0.16,0.23,0.29,1.84,0.23,0.11,0.13
Interest,0.83,0.88,1.01,1.12,1.11,1.36,1.42,1.39,1.7,1.73,1.54,2.19
Depreciation,0.09,0.08,0.07,0.1,0.12,0.15,0.18,0.23,0.18,0.14,0.15,0.15
Profit before tax,0.1,0.05,0.08,0.19,0.26,0.22,0.7,1.56,-2.14,-0.81,0.39,1.5
Tax %,30.0,40.0,25.0,31.58,34.62,40.91,25.71,30.13,0.47,-1.23,43.59,0.0
Net Profit,0.07,0.03,0.06,0.13,0.18,0.14,0.52,1.1,-2.13,-0.81,0.22,1.5
EPS in Rs,3.5,1.5,3.0,0.25,0.22,0.18,0.55,1.17,-2.27,-0.8,0.22,1.49
