,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,54.93,67.01,60.4,35.23,61.42,64.78,61.86,64.8,70.26,65.76,63.14,59.92,62.25
Expenses,52.21,62.53,55.79,35.29,57.59,59.23,57.17,60.8,64.75,60.06,58.06,55.13,56.05
Operating Profit,2.72,4.48,4.61,-0.06,3.83,5.55,4.69,4.0,5.51,5.7,5.08,4.79,6.2
OPM %,4.95,6.69,7.63,-0.17,6.24,8.57,7.58,6.17,7.84,8.67,8.05,7.99,9.96
Other Income,0.22,1.05,3.93,0.86,0.27,0.15,0.63,0.05,0.06,0.9,0.68,0.4,0.22
Interest,0.45,0.97,1.13,1.32,1.37,1.23,1.32,1.17,1.25,1.42,1.37,1.56,1.46
Depreciation,0.8,0.85,0.93,1.25,1.35,1.43,1.45,1.39,1.51,1.63,1.66,1.79,2.02
Profit before tax,1.69,3.71,6.48,-1.77,1.38,3.04,2.55,1.49,2.81,3.55,2.73,1.84,2.94
Tax %,27.81,25.34,24.54,20.9,24.64,34.21,25.49,26.85,27.76,24.79,28.21,31.52,25.51
Net Profit,1.22,2.77,4.89,-1.41,1.05,2.0,1.9,1.09,2.03,2.67,1.96,1.25,2.2
EPS in Rs,2.14,4.85,8.56,-2.47,1.84,3.5,3.33,1.91,3.55,4.67,3.43,2.19,3.85
