,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6,6,6,6,6,6,6,6,6,6,6,6,6
Reserves,9,10,11,11,11,10,14,16,19,26,29,36,39
Borrowings,28,25,22,27,28,27,29,27,30,57,66,65,63
Other Liabilities,17,13,15,15,19,16,21,32,30,50,44,49,53
Total Liabilities,60,54,54,59,64,60,70,80,85,139,145,155,161
Fixed Assets,21,20,21,20,21,22,22,23,24,34,36,39,44
CWIP,0,0,0,0,0,0,0,0,0,0,1,1,1
Investments,0,0,0,0,0,0,0,0,0,6,20,19,19
Other Assets,38,34,33,38,42,37,47,57,61,99,88,96,96
Total Assets,60,54,54,59,64,60,70,80,85,139,145,155,161
