,2015-09-01,2015-12-01,2016-03-01,2016-06-01,2016-09-01,2016-12-01,2017-03-01,2017-06-01,2017-09-01,2017-12-01,2018-03-01,2018-06-01,2018-09-01
Sales,107.0,120.0,124.0,127.0,88.0,149.0,143.0,80.0,43.0,36.0,33.0,25.0,30.0
Expenses,95.0,106.0,114.0,114.0,77.0,138.0,136.0,69.0,40.0,71.0,75.0,25.0,91.0
Operating Profit,12.0,14.0,10.0,13.0,11.0,11.0,7.0,11.0,3.0,-34.0,-42.0,-0.0,-61.0
OPM %,11.0,12.0,8.0,10.0,13.0,7.0,5.0,13.0,6.0,-95.0,-126.0,-0.0,-207.0
Other Income,1.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,-1.0,0.0,-34.0
Interest,7.0,8.0,7.0,7.0,7.0,8.0,2.0,8.0,7.0,8.0,7.0,3.0,1.0
Depreciation,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.0,2.0,2.0,3.0,2.0,2.0
Profit before tax,4.0,4.0,2.0,4.0,2.0,1.0,-3.0,0.0,-5.0,-45.0,-53.0,-5.0,-99.0
Tax %,18.0,20.0,47.0,26.0,11.0,30.0,14.0,12.0,-2.0,0.0,-4.0,0.0,0.0
Net Profit,3.0,3.0,1.0,3.0,2.0,1.0,-3.0,0.0,-5.0,-45.0,-55.0,-5.0,-99.0
EPS in Rs,1.32,1.4,0.39,1.25,0.87,0.24,-1.11,0.13,-2.28,-19.14,-23.52,-2.21,-42.21
