,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,116.44,127.24,202.21,110.07,262.24,104.0,24.44,86.1,29.14,21.92,70.25,63.63,18.13
Expenses,124.47,138.35,193.8,108.79,243.92,110.94,25.53,79.1,25.59,22.85,73.63,63.43,14.41
Operating Profit,-8.03,-11.11,8.41,1.28,18.32,-6.94,-1.09,7.0,3.55,-0.93,-3.38,0.2,3.72
OPM %,-6.9,-8.73,4.16,1.16,6.99,-6.67,-4.46,8.13,12.18,-4.24,-4.81,0.31,20.52
Other Income,15.8,14.55,17.37,14.95,17.41,15.39,6.82,16.46,9.35,9.56,-85.71,21.05,20.44
Interest,7.86,5.61,6.28,5.45,5.42,4.95,1.7,3.66,2.24,1.42,1.92,2.28,2.75
Depreciation,9.19,9.72,9.46,9.29,9.31,9.18,3.07,9.04,1.59,2.93,2.97,2.67,2.72
Profit before tax,-9.28,-11.89,10.04,1.49,21.0,-5.68,0.96,10.76,9.07,4.28,-93.98,16.3,18.69
Tax %,-78.23,-164.68,134.36,48.32,19.19,-98.06,544.79,60.22,99.89,35.05,2.12,62.27,47.51
Net Profit,-16.54,-31.47,-3.45,0.77,16.97,-11.25,-4.26,4.29,0.02,2.79,-91.99,6.16,9.81
EPS in Rs,-14.59,-35.61,-7.35,3.52,30.79,-10.77,-3.44,6.56,2.99,6.14,-93.58,12.2,11.8
