,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,5,5,6,6,6,8,8,8,8,8,8,8,8
Reserves,7,9,11,14,17,26,29,34,37,38,41,44,47
Borrowings,38,47,68,75,81,78,83,104,99,107,126,120,114
Other Liabilities,3,3,10,7,9,12,14,10,9,16,15,11,7
Total Liabilities,53,64,95,102,112,124,134,155,153,169,190,183,176
Fixed Assets,11,14,20,19,22,23,26,27,29,30,28,26,25
CWIP,0,3,5,5,4,3,3,3,3,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,42,48,70,78,87,98,104,125,121,139,163,157,151
Total Assets,53,64,95,102,112,124,134,155,153,169,190,183,176
