,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,32.13,32.12,28.55,30.98,30.6,29.97,18.94,30.15,27.65,28.61,51.21,76.17,62.29
Expenses,29.65,30.49,28.75,28.85,31.47,27.73,21.57,27.65,25.82,25.89,47.77,72.28,57.78
Operating Profit,2.48,1.63,-0.2,2.13,-0.87,2.24,-2.63,2.5,1.83,2.72,3.44,3.89,4.51
OPM %,7.72,5.07,-0.7,6.88,-2.84,7.47,-13.89,8.29,6.62,9.51,6.72,5.11,7.24
Other Income,0.14,0.06,0.06,-0.07,3.11,0.22,4.65,0.28,1.09,0.08,0.06,0.65,0.62
Interest,1.24,0.82,1.22,1.35,1.46,1.52,1.05,1.42,1.36,1.06,1.21,1.84,2.50
Depreciation,0.5,0.57,0.59,0.53,0.52,0.51,0.52,0.57,0.76,0.81,0.93,0.89,0.92
Profit before tax,0.88,0.3,-1.95,0.18,0.26,0.43,0.45,0.79,0.8,0.93,1.36,1.81,1.71
Tax %,28.41,43.33,-3.08,11.11,34.62,55.81,-22.22,24.05,53.75,23.66,25.74,24.86,
Net Profit,0.62,0.18,-2.01,0.16,0.17,0.19,0.54,0.6,0.37,0.72,1.02,1.35,1.31
EPS in Rs,0.83,0.23,-2.56,0.2,0.22,0.24,0.69,0.76,0.47,0.92,1.3,1.72,1.66
