,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,16.93,16.93,16.93,16.93,16.93,16.93,16.93,16.93,16.93,16.93,17.88,18.88,18.88
Reserves,12.75,11.63,13.03,16.77,17.52,18.49,21.0,24.31,26.8,27.22,28.49,33.02,33.6
Preference Capital,2.43,1.87,1.31,1.17,1.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Borrowings,8.19,10.87,10.73,11.57,10.58,11.82,7.21,8.21,8.11,9.53,8.96,9.43,8.9
Other Liabilities,7.33,11.48,10.96,8.12,7.21,5.5600000000000005,6.37,7.52,7.62,4.37,4.91,4.9,4.95
Total Liabilities,45.2,50.91,51.65,53.39,52.24,52.8,51.51,56.97,59.46,58.05,60.24,66.23,66.33
Fixed Assets,27.06,27.86,26.79,23.94,22.88,22.07,21.34,20.58,19.94,19.18,18.6,19.08,18.99
CWIP,0.0,0.01,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,3.85,3.85,3.85,3.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85
Other Assets,14.29,19.19,21.01,25.6,26.51,27.57,27.32,33.54,36.67,36.02,38.79,44.3,44.49
Total Assets,45.2,50.91,51.65,53.39,52.24,52.8,51.51,56.97,59.46,58.05,60.24,66.23,66.33
