,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,4,4,4,8,8,8,8,8,8,8,17,17
Reserves,204,232,275,326,360,398,430,444,465,491,521,543,556
Borrowings,616,611,582,518,425,351,381,383,390,395,280,241,232
Other Liabilities,195,170,167,175,179,215,160,154,168,154,157,161,160
Total Liabilities,1020,1018,1029,1023,972,972,980,990,1030,1048,966,961,965
Fixed Assets,196,182,170,151,132,125,112,98,89,82,121,121,123
CWIP,40,36,29,30,32,33,34,35,37,37,6,6,8
Investments,0,0,0,0,0,0,0,0,12,9,0,0,10
Other Assets,783,800,829,842,808,814,834,857,893,921,839,834,825
Total Assets,1020,1018,1029,1023,972,972,980,990,1030,1048,966,961,965
