,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.0,0,0,0,0,0,0,0,0,0,0,4.0,15.0
Expenses,1.0,1,1,1,1,1,10,1,3,1,1,5.0,15.0
Operating Profit,-1.0,-1,-1,-1,-1,-1,-10,-1,-3,-1,-1,-0.0,-0.0
OPM %,-157.0,,,,,,,,,,,-7.0,-1.0
Other Income,1.0,7,9,10,43,3,1,5,2,2,11,32.0,35.0
Interest,0.0,2,2,1,1,0,0,0,0,0,0,0.0,1.0
Depreciation,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
Profit before tax,0.0,4,6,9,42,2,-10,4,-1,1,10,31.0,34.0
Tax %,-9.0,-2,0,0,0,0,-0,0,0,15,-1,0.0,0.0
Net Profit,0.0,4,6,9,42,2,-10,4,-1,1,10,31.0,34.0
EPS in Rs,0.33,2.83,4.02,5.61,27.40,1.10,-6.63,2.60,-0.64,0.65,6.54,20.53,22.07
