,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,1,1,1,1,1,1,1,1,1,1,4
Reserves,5,5,5,5,5,5,5,5,10,11,11,11,153
Borrowings,0,0,0,0,0,0,0,0,0,0,0,0,40
Other Liabilities,0,0,0,0,0,0,0,0,0,0,2,0,24
Total Liabilities,6,6,6,6,6,6,6,6,12,12,14,12,222
Fixed Assets,0,0,0,0,0,0,0,0,0,0,0,0,21
CWIP,0,0,0,0,0,0,0,0,0,0,0,0,0
Investments,6,6,6,0,2,2,2,6,0,0,5,0,0
Other Assets,0,0,0,6,3,4,4,1,12,12,8,12,201
Total Assets,6,6,6,6,6,6,6,6,12,12,14,12,222
