,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,3.61,1.16,0.09,0.07,0.02,2.14,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Expenses,3.43,1.2,0.19,0.21,0.18,2.39,1.04,0.55,1.41,0.20,0.30,0.27,0.66
Operating Profit,0.18,-0.04,-0.1,-0.14,-0.16,-0.25,-1.04,-0.55,-1.41,-0.20,-0.30,-0.27,-0.66
OPM %,4.99,-3.45,-111.11,-200.0,-800.0,-11.68,,,,,,,
Other Income,0.14,0.03,0.04,0.0,0.08,0.03,0.17,0.21,0.22,0.12,0.11,0.12,0.06
Interest,0.14,0.02,0.03,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0
Depreciation,0.15,0.16,0.07,0.06,0.06,0.04,0.03,0.00,0.00,0.00,0.00,0.00,0.0
Profit before tax,0.03,-0.19,-0.16,-0.22,-0.15,-0.27,-0.91,-0.35,-1.20,-0.09,-0.20,-0.16,-0.6000000000000001
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,
Net Profit,0.03,-0.2,-0.16,-0.22,-0.15,-0.27,-0.91,-0.35,-1.20,-0.09,-0.20,-0.16,-0.6000000000000001
EPS in Rs,0.0,-0.02,-0.02,-0.03,-0.02,-0.03,-0.11,-0.04,-0.15,-0.01,-0.02,-0.02,-0.07
