,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
Reserves,7.32,7.7,8.44,8.4,8.27,7.83,7.72,7.65,7.51,7.43,7.49,7.83,8.14
Borrowings,0.0,0.0,5.66,10.11,9.84,0.73,0.0,0.0,0.0,0.0,0.0,0.77,0.0
Other Liabilities,0.24,4.29,3.04,2.96,3.37,0.11,0.03,0.03,0.08,0.04,2.3,4.65,7.14
Total Liabilities,8.4,12.83,17.98,22.31,22.32,9.51,8.59,8.52,8.43,8.31,10.63,14.09,16.12
Fixed Assets,1.24,1.18,1.28,1.17,1.08,1.02,0.99,0.9,0.8300000000000001,0.8,0.37,0.35,0.33
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.12,1.48,1.46,1.55,1.42,1.52,1.42,0.6000000000000001,0.24,0.45,0.91,0.78,0.94
Other Assets,7.04,10.17,15.24,19.59,19.82,6.97,6.18,7.02,7.36,7.06,9.35,12.96,14.85
Total Assets,8.4,12.83,17.98,22.31,22.32,9.51,8.59,8.52,8.43,8.31,10.63,14.09,16.12
