,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,120.0,184.0,258.0,100.0,233.0,250.0,342.0,500.0,410.0,328.0,583.0,632.0,499.0
Expenses,139.0,193.0,264.0,117.0,249.0,259.0,340.0,483.0,405.0,312.0,540.0,585.0,459.0
Operating Profit,-18.0,-9.0,-5.0,-17.0,-16.0,-10.0,2.0,17.0,6.0,16.0,43.0,47.0,39.0
OPM %,-15.0,-5.0,-2.0,-17.0,-7.0,-4.0,1.0,3.0,1.0,5.0,7.0,7.0,8.0
Other Income,2.0,1.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0
Interest,7.0,6.0,5.0,5.0,6.0,6.0,4.0,5.0,4.0,7.0,9.0,5.0,7.0
Depreciation,12.0,12.0,11.0,11.0,11.0,11.0,10.0,11.0,11.0,11.0,10.0,12.0,12.0
Profit before tax,-35.0,-26.0,-20.0,-33.0,-30.0,-26.0,-11.0,2.0,-9.0,-1.0,25.0,32.0,21.0
Tax %,0.0,0.0,-1.0,0.0,2.0,0.0,-0.0,0.0,0.0,86.0,-7.0,1.0,0.0
Net Profit,-35.0,-26.0,-20.0,-33.0,-29.0,-26.0,-11.0,2.0,-9.0,-0.0,27.0,32.0,21.0
EPS in Rs,-23.99,-18.24,-13.9,-23.11,-20.12,-17.82,-7.89,1.62,-6.34,-0.09,18.51,21.97,14.57
