,2019-03-01,2019-09-01,2020-03-01,2020-09-01,2021-03-01,2021-09-01,2022-03-01,2022-09-01,2023-03-01,2023-09-01
Sales,28.0,28.0,30.0,28.0,40.0,40.0,46.0,31.0,49.0,23.0
Expenses,25.0,24.0,28.0,26.0,36.0,36.0,43.0,28.0,46.0,25.0
Operating Profit,2.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,-2.0
OPM %,9.0,14.0,8.0,7.0,10.0,9.0,7.0,8.0,6.0,-8.0
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,-51.0
Interest,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Depreciation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Profit before tax,0.0,1.0,-0.0,-1.0,1.0,1.0,0.0,1.0,-0.0,-55.0
Tax %,0.0,17.0,-32.0,0.0,2.0,17.0,200.0,16.0,-4.0,0.0
Net Profit,0.0,1.0,-0.0,-1.0,1.0,1.0,-0.0,1.0,-0.0,-55.0
EPS in Rs,0.44,1.18,-0.46,-0.78,1.26,1.1,-0.06,0.54,-0.26,-55.16
