,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Expenses,0.32,0.40,0.43,0.58,0.55,0.38,0.43,0.41,0.52,0.49,0.69,1.51,1.6600000000000001
Operating Profit,-0.32,-0.40,-0.43,-0.58,-0.55,-0.38,-0.43,-0.41,-0.52,-0.49,-0.69,-1.51,-1.6600000000000001
OPM %,,,,,,,,,,,,,
Other Income,0.00,0.00,0.00,-0.11,0.00,0.03,0.00,0.00,-2.13,-0.31,-0.08,-0.28,0.04
Interest,0.03,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.0
Depreciation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,13.99,19.97,0.00,0.49,0.0
Profit before tax,-0.35,-0.40,-0.43,-0.69,-0.55,-0.41,-0.43,-3.41,-16.64,-20.77,-0.77,-2.28,-1.62
Tax %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.10,-1.30,0.00,
Net Profit,-0.35,-0.40,-0.43,-0.69,-0.55,-0.41,-0.43,-3.41,-16.65,-20.79,-0.78,-2.27,-1.63
EPS in Rs,-0.39,-0.44,-0.47,-0.76,-0.61,-0.45,-0.47,-3.76,-18.38,-22.95,-0.86,-2.51,-1.8
