,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,161.86,161.86,161.86,161.86,161.86,161.86,161.86,161.86,161.86,161.86,161.86,161.86,161.86
Reserves,165.78,165.78,165.78,166.38,166.38,171.42,161.0,122.85,119.94,115.09,112.43,109.94,108.78
Borrowings,601.76,603.73,605.67,606.86,608.44,299.08,190.71,173.1,172.35,172.54,173.25,174.43,175.26
Other Liabilities,10.86,10.86,10.9,7.68,7.71,0.53,4.86,1.26,1.21,1.14,1.31,1.15,1.01
Total Liabilities,940.26,942.23,944.21,942.78,944.39,632.89,518.43,459.07,455.36,450.63,448.85,447.38,446.91
Fixed Assets,7.88,7.29,6.69,3.81,3.68,382.45,496.64,438.11,435.11,430.67,428.76,426.92,425.96
CWIP,904.82,907.32,909.79,911.23,913.21,226.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01
Other Assets,27.56,27.62,27.73,27.74,27.5,23.55,21.79,20.95,20.24,19.95,20.08,20.45,20.94
Total Assets,940.26,942.23,944.21,942.78,944.39,632.89,518.43,459.07,455.36,450.63,448.85,447.38,446.91
