,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,10.21,6.99,6.21,9.44,9.19,9.98,25.64,29.6,34.08,20.82,15.62,18.24,16.84
Expenses,9.71,3.96,2.18,1.1,1.79,2.24,0.9,1.94,3.14,9.49,7.35,0.96,-0.48
Operating Profit,0.5,3.03,4.03,8.34,7.4,7.74,24.74,27.66,30.94,11.33,8.27,17.28,17.32
OPM %,4.9,43.35,64.9,88.35,80.52,77.56,96.49,93.45,90.79,54.42,52.94,94.74,102.85
Other Income,0.11,0.06,-1.21,0.06,0.16,-0.04,0.11,0.27,0.01,4.0,0.18,0.0,0.13
Interest,1.43,3.13,0.0,0.0,0.0,5.06,18.22,21.06,24.67,16.9,17.67,14.94,12.20
Depreciation,0.58,0.45,2.27,5.19,4.87,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.00
Profit before tax,-1.4,-0.49,0.55,3.21,2.69,2.63,6.62,6.86,6.27,-1.57,-9.22,2.34,5.25
Tax %,-1.43,-42.86,69.09,38.94,44.24,52.85,25.23,26.38,35.25,39.49,11.82,103.85,
Net Profit,-1.41,-0.7,0.17,1.96,1.5,1.24,4.95,5.06,4.06,-0.96,-8.13,-0.09,4.41
EPS in Rs,-1.3,-0.64,0.16,1.8,1.38,1.14,4.55,4.65,3.73,-0.88,-7.47,-0.08,4.04
