,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,4,4,4,4,4,4,4,4,4,4,4,4
Reserves,55,63,71,74,73,84,86,89,89,97,111,96,93
Borrowings,149,118,110,94,98,77,70,72,89,100,134,135,125
Other Liabilities,42,51,71,65,57,47,58,43,55,69,72,44,47
Total Liabilities,250,236,257,237,232,213,218,208,238,270,322,279,269
Fixed Assets,168,157,148,138,130,120,112,104,122,111,143,146,132
CWIP,0,0,0,0,0,0,0,0,0,0,1,2,1
Investments,2,2,2,2,2,2,2,2,2,2,2,2,2
Other Assets,80,77,107,97,100,90,104,102,114,157,176,130,133
Total Assets,250,236,257,237,232,213,218,208,238,270,322,279,269
