,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,71.92,90.73,51.79,24.82,118.85,104.31,4.88,0.68,0.68,0.8,0.00,0.00,0.0
Expenses,32.9,52.94,47.7,17.69,80.87,89.71,7.54,1.98,1.16,0.61,0.37,1.64,1.63
Operating Profit,39.02,37.79,4.09,7.13,37.98,14.6,-2.66,-1.3,-0.48,0.19,-0.37,-1.64,-1.63
OPM %,54.25,41.65,7.9,28.73,31.96,14.0,-54.51,-191.18,-70.59,23.75,,,
Other Income,0.0,0.0,0.0,0.07,0.62,1.84,1.28,0.19,0.41,0.01,0.01,1.34,1.16
Interest,0.32,8.07,7.06,5.54,6.22,9.51,0.07,0.02,0.01,0.0,0.00,0.00,0.0
Depreciation,0.97,0.94,0.65,1.24,0.05,0.09,0.03,0.02,0.02,0.01,0.01,0.00,0.0
Profit before tax,37.73,28.78,-3.62,0.42,32.33,6.84,-1.48,-1.15,-0.1,0.19,-0.37,-0.30,-0.47000000000000003
Tax %,43.33,32.73,154.7,35.71,35.14,36.55,-16.89,0.0,740.0,5.26,0.00,0.00,
Net Profit,21.38,19.35,1.98,0.28,20.97,4.34,-1.72,-1.16,0.64,0.18,-0.36,-0.31,-0.45
EPS in Rs,67.87,61.43,6.29,0.89,66.57,13.78,-5.46,-3.68,2.03,0.57,-1.14,-0.98,-1.44
