,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,1,1,1,1,1,1,1,1,1,1,1,1,1
Reserves,14,15,17,18,20,21,24,30,32,33,34,38,38
Borrowings,25,25,23,24,22,18,20,18,20,19,19,25,29
Other Liabilities,15,18,14,15,14,12,18,19,15,18,19,26,24
Total Liabilities,55,59,54,58,57,53,63,68,69,71,74,90,92
Fixed Assets,18,17,18,20,21,21,25,28,30,32,30,36,35
CWIP,0,0,0,0,0,2,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,37,42,37,38,35,31,38,40,39,39,44,54,57
Total Assets,55,59,54,58,57,53,63,68,69,71,74,90,92
