,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,7.07,19.51,52.28,40.3,35.09,33.07,38.74,37.72,32.77,31.7,40.21,33.51,18.93
Expenses,7.2,19.17,49.82,38.09,32.38,30.43,36.65,36.08,32.32,31.18,35.16,32.31,16.95
Operating Profit,-0.13,0.34,2.46,2.21,2.71,2.64,2.09,1.64,0.45,0.52,5.05,1.2,1.98
OPM %,-1.84,1.74,4.71,5.48,7.72,7.98,5.39,4.35,1.37,1.64,12.56,3.58,10.46
Other Income,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,1.02,0.0,0.01,0.05,-0.01
Interest,0.01,0.07,0.12,0.14,0.12,0.14,0.18,0.16,0.19,0.16,0.21,0.26,0.24
Depreciation,0.11,0.22,0.36,0.22,0.25,0.33,0.39,0.34,0.34,0.34,0.34,0.29,0.29
Profit before tax,-0.25,0.05,1.98,1.85,2.34,2.17,1.54,1.22,0.94,0.02,4.51,0.7,1.44
Tax %,16.0,20.0,16.16,16.76,16.67,16.59,28.57,21.31,-8.51,-150.0,29.93,25.71,27.08
Net Profit,-0.21,0.04,1.66,1.54,1.95,1.81,1.1,0.96,1.01,0.05,3.15,0.52,1.05
EPS in Rs,-0.02,0.0,0.15,0.14,0.12,0.11,0.07,0.06,0.06,0.0,0.2,0.03,0.07
