,2011-12-01,2012-12-01,2013-12-01,2014-12-01,2015-12-01,2016-12-01,2017-12-01,2018-12-01,2019-12-01,2020-12-01,2021-12-01,2022-12-01,2023-06-01
Equity Capital,23,23,23,23,23,23,23,23,23,23,23,23,23
Reserves,1094,1181,1324,1463,1604,1860,2003,2196,2419,2096,2203,1253,701
Borrowings,0,0,0,0,0,0,0,0,0,23,25,24,20
Other Liabilities,386,427,532,742,778,658,751,765,802,777,811,772,754
Total Liabilities,1503,1631,1878,2228,2405,2541,2778,2984,3244,2918,3061,2072,1498
Fixed Assets,737,699,699,648,877,817,769,733,499,464,334,306,316
CWIP,23,43,136,210,22,34,30,21,17,10,13,24,10
Investments,0,0,0,0,0,0,0,0,0,0,0,0,2
Other Assets,742,888,1043,1369,1505,1690,1978,2230,2728,2444,2714,1743,1170
Total Assets,1503,1631,1878,2228,2405,2541,2778,2984,3244,2918,3061,2072,1498
