,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,20.0,3.0,-4,20.0,67.0,-11,11.0,-28,57.0,12.0,-18,30.0,29.0
Expenses,0.0,0.0,1,0.0,1.0,0,1.0,0,1.0,1.0,1,1.0,1.0
Operating Profit,20.0,3.0,-5,20.0,66.0,-11,10.0,-28,57.0,12.0,-19,29.0,28.0
OPM %,98.0,92.0,,98.0,99.0,,92.0,,99.0,95.0,,98.0,98.0
Other Income,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0
Interest,1.0,0.0,0,0.0,0.0,0,1.0,0,0.0,0.0,1,0.0,0.0
Depreciation,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0
Profit before tax,19.0,3.0,-5,20.0,66.0,-11,10.0,-29,56.0,11.0,-20,28.0,28.0
Tax %,25.0,24.0,119,19.0,19.0,5,35.0,14,20.0,26.0,13,14.0,14.0
Net Profit,14.0,2.0,1,16.0,53.0,-11,6.0,-25,45.0,8.0,-17,24.0,24.0
EPS in Rs,143.77,21.28,9.39,154.48,518.5,-105.06,62.04,-240.02,440.72,81.56,-169.05,237.11,231.09
