,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,27.01,12.56,2.47,5.02,2.06,6.18,5.65,7.22,5.4,11.36,10.76,5.8,3.25
Expenses,27.02,12.94,2.6,5.14,2.18,6.35,6.0,7.33,5.31,11.38,10.5,5.95,3.41
Operating Profit,-0.01,-0.38,-0.13,-0.12,-0.12,-0.17,-0.35,-0.11,0.09,-0.02,0.26,-0.15,-0.16
OPM %,-0.04,-3.03,-5.26,-2.39,-5.83,-2.75,-6.19,-1.52,1.67,-0.18,2.42,-2.59,-4.92
Other Income,0.28,-0.01,0.0,0.8,0.0,0.0,-0.01,0.03,0.08,0.08,0.09,0.16,0.16
Interest,0.09,0.01,0.01,0.02,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.00
Depreciation,0.06,0.05,0.03,0.04,0.02,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.00
Profit before tax,0.12,-0.45,-0.17,0.62,-0.17,-0.19,-0.37,-0.09,0.17,0.06,0.35,0.01,0.00
Tax %,33.33,26.67,29.41,4.84,5.88,31.58,10.81,-44.44,82.35,133.33,14.29,500.0,
Net Profit,0.08,-0.33,-0.12,0.59,-0.15,-0.13,-0.33,-0.12,0.03,-0.02,0.31,-0.03,-0.05
EPS in Rs,0.24,-1.01,-0.37,1.8,-0.87,-0.75,-1.91,-0.7,0.17,-0.12,1.8,-0.17,-0.29
