,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,58.0,47.0,30.0,52.0,89.0,135.0,162.0,222.0,388.0,551.0,1798.0,1060.0,1288
Expenses,29.0,32.0,35.0,62.0,116.0,155.0,175.0,255.0,440.0,561.0,684.0,1168.0,1321
Operating Profit,29.0,15.0,-4.0,-10.0,-28.0,-20.0,-13.0,-33.0,-52.0,-10.0,1114.0,-107.0,-32
OPM %,50.0,33.0,-15.0,-19.0,-31.0,-15.0,-8.0,-15.0,-13.0,-2.0,62.0,-10.0,-3
Other Income,0.0,0.0,0.0,2.0,-0.0,2.0,7.0,0.0,1.0,1.0,3.0,-5.0,34
Interest,1.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,2.0,1
Depreciation,6.0,2.0,2.0,6.0,7.0,7.0,6.0,6.0,5.0,4.0,4.0,8.0,9
Profit before tax,22.0,13.0,-7.0,-15.0,-37.0,-28.0,-12.0,-42.0,-58.0,-16.0,1109.0,-122.0,-8
Tax %,32.0,31.0,5.0,0.0,1.0,-2.0,-19.0,-3.0,9.0,-4.0,22.0,19.0,
Net Profit,14.0,8.0,-6.0,-15.0,-37.0,-29.0,-15.0,-43.0,-52.0,-17.0,865.0,-99.0,-87
EPS in Rs,4.41,2.58,-2.03,-4.68,-11.51,-9.0,-3.73,-11.81,-12.19,-3.27,197.05,-22.7,-18.89
