,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,7.36,59.45,54.57,15.14,40.37,16.68,22.11,9.69,9.15,19.25,59.93,12.16,19.3
Expenses,247.69,67.94,83.46,18.14,16.31,23.71,47.73,28.29,100.87,5.16,80.6,44.18,33.32
Operating Profit,-240.33,-8.49,-28.89,-3.0,24.06,-7.03,-25.62,-18.6,-91.72,14.09,-20.67,-32.02,-14.02
OPM %,-3265.35,-14.28,-52.94,-19.82,59.6,-42.15,-115.88,-191.95,-1002.4,73.19,-34.49,-263.32,-72.64
Other Income,288.42,-2.85,-2.48,291.3,0.92,0.63,-251.36,3.92,0.13,0.97,104.96,64.35,12.17
Interest,37.33,29.13,13.8,20.88,24.35,20.94,25.51,16.64,17.07,13.99,14.74,0.35,0.3
Depreciation,0.05,0.07,0.06,0.03,0.02,0.02,0.07,0.02,0.03,0.02,0.08,0.02,0.03
Profit before tax,10.71,-40.54,-45.23,267.39,0.61,-27.36,-302.56,-31.34,-108.69,1.05,69.47,31.96,-2.18
Tax %,743.7,-0.22,2.48,0.1,8.2,0.11,-1.02,-1.21,-0.33,35.24,5.92,0.66,9.63
Net Profit,-68.94,-40.63,-44.11,267.13,0.56,-27.33,-305.66,-31.72,-109.05,0.68,65.36,31.75,-1.97
EPS in Rs,-4.73,-2.79,-3.02,18.32,0.04,-1.87,-20.96,-2.18,-7.48,0.05,4.48,2.18,-0.14
