,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,126.52,206.47,243.25,164.99,177.55,192.25,429.58,402.93,328.57,442.4,471.42,446.11,374.86
Expenses,108.5,172.37,195.16,141.46,185.09,180.74,426.44,387.89,375.39,434.41,441.61,414.93,364.3
Operating Profit,18.02,34.1,48.09,23.53,-7.54,11.51,3.14,15.04,-46.82,7.99,29.81,31.18,10.56
OPM %,14.24,16.52,19.77,14.26,-4.25,5.99,0.73,3.73,-14.25,1.81,6.32,6.99,2.82
Other Income,2.93,2.78,4.03,3.17,2.93,2.7,4.54,2.93,2.64,4.09,3.35,-0.87,2.64
Interest,0.91,0.95,1.58,0.99,0.99,1.54,2.3,2.02,2.73,2.59,1.95,1.72,2.36
Depreciation,5.01,5.31,4.82,5.55,5.62,5.75,8.32,9.41,9.69,9.93,9.84,9.82,10.14
Profit before tax,15.03,30.62,45.72,20.16,-11.22,6.92,-2.94,6.54,-56.6,-0.44,21.37,18.77,0.7
Tax %,21.89,32.53,30.77,36.06,36.19,40.46,9.18,31.65,32.9,-534.09,33.04,34.84,-4.29
Net Profit,11.74,20.65,31.65,12.89,-7.16,4.12,-2.67,4.47,-37.98,-2.79,14.31,12.22,0.73
EPS in Rs,1.69,2.97,4.53,1.84,-1.02,0.59,-0.38,0.64,-5.4,-0.4,2.03,1.1,0.07
