,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,0,0,2,2,2,2,2,34,34,34,54
Reserves,0,0,1,1,1,1,1,11,14,28,69
Borrowings,0,0,0,0,0,0,0,21,23,28,25
Other Liabilities,0,0,1,0,0,0,0,83,177,62,48
Total Liabilities,0,0,5,4,4,4,4,149,248,153,196
Fixed Assets,0,0,0,0,0,0,0,0,0,0,0
CWIP,0,0,0,0,0,0,0,0,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0
Other Assets,0,0,5,4,4,4,4,149,248,153,196
Total Assets,0,0,5,4,4,4,4,149,248,153,196
