,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,6.59,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49,7.49
Reserves,13.96,14.81,15.41,15.85,16.48,28.26,28.86,29.23,29.11,28.31,27.94,27.56,27.38
Borrowings,22.43,18.18,17.62,17.14,20.82,19.66,18.01,25.33,24.46,27.3,24.91,24.19,24.1
Other Liabilities,8.69,9.43,9.36,9.6,7.39,6.2,5.53,5.62,4.62,3.39,4.27,4.38,4.8100000000000005
Total Liabilities,51.67,49.91,49.88,50.08,52.18,61.61,59.89,67.67,65.68,66.49,64.61,63.62,63.78
Fixed Assets,27.11,25.18,24.16,22.97,22.3,33.92,33.36,38.6,37.91,37.57,36.37,37.23,36.36
CWIP,0.55,0.55,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Assets,24.01,24.18,25.57,26.96,29.73,27.54,26.53,29.07,27.77,28.92,28.24,26.39,27.42
Total Assets,51.67,49.91,49.88,50.08,52.18,61.61,59.89,67.67,65.68,66.49,64.61,63.62,63.78
