,Mar 2011,Mar 2012,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.69,0.83,0.00,4.41,9.80,37.64,60.04,54.74,42.6,51.33,46.25,43.21
Expenses,0.65,0.77,0.08,4.34,7.07,29.66,48.27,46.99,34.81,43.51,30.57,31.01
Operating Profit,0.04,0.06,-0.08,0.07,2.73,7.98,11.77,7.75,7.79,7.82,15.68,12.20
OPM %,5.80,7.23,,1.59,27.86,21.2,19.6,14.16,18.29,15.23,33.9,28.23
Other Income,0.02,0.00,0.00,0.00,0.00,0.16,0.29,0.23,-2.59,0.44,1.34,1.11
Interest,0.00,0.00,0.00,0.00,0.13,0.34,1.97,3.89,4.21,2.76,2.89,2.75
Depreciation,0.01,0.01,0.00,0.00,0.04,0.61,2.04,3.06,2.92,2.8,3.58,3.59
Profit before tax,0.05,0.05,-0.08,0.07,2.56,7.19,8.05,1.03,-1.93,2.7,10.55,6.97
Tax %,20.00,40.00,0.00,71.43,32.81,28.23,29.81,66.02,-12.44,39.63,26.26,
Net Profit,0.03,0.04,-0.09,0.02,1.71,5.16,5.65,0.36,-2.16,1.62,7.79,8.08
EPS in Rs,,,,,,1.25,1.37,0.09,-0.52,0.39,1.9,1.97
