,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01
Sales,0.09,1.00,1.00,1.58,1.95,2.14,3.24,3.83,5.63,7.59,14.54,17.44
Expenses,0.07,0.88,0.93,1.11,1.35,1.52,2.01,2.44,4.02,5.81,10.45,22.48
Operating Profit,0.02,0.12,0.07,0.47,0.60,0.62,1.23,1.39,1.61,1.78,4.09,-5.04
OPM %,22.22,12.00,7.00,29.75,30.77,28.97,37.96,36.29,28.6,23.45,28.13,-28.9
Other Income,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.07,0.12,0.52,0.63,0.81
Interest,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.01,0.08,0.08,0.04,0.37
Depreciation,0.00,0.00,0.00,0.01,0.03,0.08,0.07,0.10,0.21,0.22,1.13,2.4
Profit before tax,0.02,0.12,0.07,0.46,0.57,0.50,1.18,1.35,1.44,2.0,3.55,-7.0
Tax %,50.00,33.33,28.57,30.43,0.00,30.00,27.12,28.15,26.39,21.0,25.35,24.71
Net Profit,0.02,0.08,0.05,0.32,0.57,0.34,0.87,0.97,1.06,1.57,2.66,-5.26
EPS in Rs,,,,,,,,,1.41,1.52,2.56,-5.07
