,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,13.09,12.52,15.02,16.26,18.24,19.49,23.17,30.12,32.63,28.66,26.61,28.12,39.19
Expenses,14.11,13.27,18.25,14.77,16.26,16.79,22.07,19.43,22.3,22.08,22.62,23.14,28.55
Operating Profit,-1.02,-0.75,-3.23,1.49,1.98,2.7,1.1,10.69,10.33,6.58,3.99,4.98,10.64
OPM %,-7.79,-5.99,-21.5,9.16,10.86,13.85,4.75,35.49,31.66,22.96,14.99,17.71,27.15
Other Income,3.28,1.84,2.1,2.08,1.78,1.84,1.96,2.11,2.03,3.4,3.95,3.41,2.94
Interest,0.03,0.03,0.03,0.02,0.03,0.02,0.02,0.01,0.12,0.08,0.22,0.09,0.11
Depreciation,0.61,0.62,0.57,0.6,0.57,0.57,0.51,0.53,0.65,0.64,0.59,0.69,0.8
Profit before tax,1.62,0.44,-1.73,2.95,3.16,3.95,2.53,12.26,11.59,9.26,7.13,7.61,12.67
Tax %,-84.57,-400.0,163.58,43.39,32.28,21.52,-19.37,25.94,23.99,17.82,24.96,33.77,25.65
Net Profit,2.99,2.2,1.1,1.67,2.14,3.1,3.02,9.08,8.81,7.61,5.35,5.04,9.42
EPS in Rs,1.97,1.45,0.72,1.1,1.41,2.04,1.99,5.97,5.8,5.01,3.52,3.32,6.2
