,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,419.0,388.0,402.0,508.0,568.0,543.0,554.0,660.0,451.0,348.0,423.0,527.0,563
Expenses,344.0,332.0,365.0,444.0,493.0,484.0,493.0,563.0,415.0,358.0,439.0,487.0,513
Operating Profit,75.0,57.0,38.0,64.0,74.0,59.0,61.0,97.0,36.0,-10.0,-16.0,40.0,49
OPM %,18.0,15.0,9.0,13.0,13.0,11.0,11.0,15.0,8.0,-3.0,-4.0,8.0,9
Other Income,0.0,5.0,17.0,4.0,6.0,0.0,23.0,6.0,-1.0,-24.0,-93.0,-8.0,-11
Interest,19.0,20.0,23.0,26.0,33.0,51.0,50.0,53.0,57.0,59.0,108.0,155.0,167
Depreciation,11.0,12.0,14.0,16.0,19.0,30.0,32.0,34.0,32.0,34.0,37.0,38.0,38
Profit before tax,46.0,29.0,18.0,26.0,28.0,-22.0,0.0,17.0,-54.0,-127.0,-254.0,-161.0,-167
Tax %,1.0,11.0,-2.0,21.0,19.0,38.0,304.0,103.0,8.0,3.0,-1.0,-19.0,
Net Profit,45.0,26.0,18.0,21.0,23.0,-14.0,-1.0,-1.0,-50.0,-123.0,-257.0,-192.0,-198
EPS in Rs,3.44,1.96,1.37,1.55,1.74,-0.65,0.28,0.23,-3.33,-8.98,-16.77,-11.4,-11.68
