,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4.03,3.06,3.06,3.06,3.06,3.06,3.06,3.06,3.06,6.12,6.12,6.12,6.12
Reserves,1.22,2.29,2.19,2.2,2.24,2.34,2.53,2.72,3.05,0.24,0.3,0.5,0.59
Borrowings,1.12,0.98,1.19,1.22,1.7000000000000002,0.5700000000000001,0.8200000000000001,1.4,3.11,4.03,6.48,9.81,9.76
Other Liabilities,1.59,2.14,1.6,1.58,1.99,2.21,7.15,7.26,9.18,8.29,7.39,6.36,6.28
Total Liabilities,7.96,8.47,8.04,8.06,8.99,8.18,13.56,14.44,18.4,18.68,20.29,22.79,22.75
Fixed Assets,3.98,3.9,3.76,3.38,3.26,4.38,5.34,6.89,8.01,8.47,9.24,11.79,11.23
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,0.65,0.0,0.49,0.49,0.49,0.19,0.19,0.19,0.02,0.02,0.02,0.02,0.02
Other Assets,3.33,4.57,3.79,4.19,5.24,3.61,8.03,7.36,10.37,10.19,11.03,10.98,11.5
Total Assets,7.96,8.47,8.04,8.06,8.99,8.18,13.56,14.44,18.4,18.68,20.29,22.79,22.75
