,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,8.2,14.0,14.0,14.0,15.3,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1
Reserves,7.57,7.61,7.71,8.48,21.56,29.99,31.48,32.43,37.81,40.03,40.93,44.21,49.22
Borrowings,0.19,0.25,28.04,25.86,10.2,11.18,4.7,4.76,3.78,3.24,2.8200000000000003,2.2,1.87
Other Liabilities,9.53,37.58,1.76,2.01,3.36,4.47,5.02,5.54,7.84,4.53,3.95,3.87,3.1
Total Liabilities,25.49,59.44,51.51,50.35,50.42,61.74,57.3,58.83,65.53,63.9,63.8,66.38,70.29
Fixed Assets,3.47,6.45,6.16,7.47,7.85,12.89,12.94,18.12,19.57,18.87,18.12,18.15,18.21
CWIP,0.0,0.0,0.02,0.0,0.85,5.76,8.98,5.11,5.53,6.79,6.79,0.0,0.0
Investments,9.46,11.41,11.41,7.77,7.97,3.26,3.26,3.26,9.26,9.33,9.52,9.33,9.67
Other Assets,12.56,41.58,33.92,35.11,33.75,39.83,32.12,32.34,31.17,28.91,29.37,38.9,42.41
Total Assets,25.49,59.44,51.51,50.35,50.42,61.74,57.3,58.83,65.53,63.9,63.8,66.38,70.29
