,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,90,90,90,90,90,90,90,90,90,90,90,90,90
Reserves,303,377,466,564,715,870,1045,1194,1313,1524,1822,2142,1998
Borrowings,3,46,40,38,2,0,170,0,0,81,47,3,20
Other Liabilities,237,284,319,354,522,686,914,914,940,1163,1779,2108,1228
Total Liabilities,634,796,914,1047,1329,1646,2219,2198,2343,2858,3738,4343,3337
Fixed Assets,58,64,64,88,130,210,226,372,416,544,592,668,942
CWIP,63,88,133,149,210,232,360,220,161,131,212,204,0
Investments,36,97,174,95,90,61,22,212,116,83,134,32,28
Other Assets,476,547,542,715,899,1143,1611,1394,1650,2099,2800,3439,2367
Total Assets,634,796,914,1047,1329,1646,2219,2198,2343,2858,3738,4343,3337
