,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,7.55,7.55,7.55,7.55,10.0,10.0,10.0,11.5,11.5,11.5,11.5,11.5,16.78
Reserves,-1.8,-1.8,-1.8,-1.8,-1.81,-1.81,-1.64,-0.8300000000000001,-1.28,-0.97,0.93,2.2,6.03
Borrowings,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.2,0.0,0.0,6.03,22.61,11.0
Other Liabilities,0.0,0.0,0.0,0.0,0.0,0.02,2.24,0.33,1.09,2.55,3.34,9.1,9.78
Total Liabilities,5.75,5.75,5.75,5.75,8.19,8.21,11.09,11.2,11.31,13.08,21.8,45.41,43.59
Fixed Assets,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.03,1.18,1.31
CWIP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Investments,1.37,1.37,1.37,1.37,1.37,1.37,1.37,2.64,2.03,2.28,3.5,7.58,7.58
Other Assets,4.37,4.37,4.37,4.37,6.82,6.84,9.72,8.56,9.28,10.79,18.27,36.65,34.7
Total Assets,5.75,5.75,5.75,5.75,8.19,8.21,11.09,11.2,11.31,13.08,21.8,45.41,43.59
