,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.9,0.77,0.51,0.57,0.58,0.38,0.68,0.5,0.16,0.3,0.36,0.35,0.35
Expenses,0.34,0.46,1.15,0.18,0.29,0.27,1.01,0.37,0.18,0.49,0.7,0.33,0.38
Operating Profit,0.56,0.31,-0.64,0.39,0.29,0.11,-0.33,0.13,-0.02,-0.19,-0.34,0.02,-0.03
OPM %,62.22,40.26,-125.49,68.42,50.0,28.95,-48.53,26.0,-12.5,-63.33,-94.44,5.71,-8.57
Other Income,0.17,0.07,0.09,0.07,0.07,0.03,0.03,0.04,0.02,0.03,0.04,0.03,0.04
Interest,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Depreciation,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.02
Profit before tax,0.69,0.35,-0.58,0.42,0.32,0.11,-0.33,0.14,-0.03,-0.19,-0.33,0.03,-0.01
Tax %,18.84,22.86,27.59,19.05,18.75,9.09,-15.15,14.29,-33.33,26.32,6.06,33.33,100.0
Net Profit,0.55,0.26,-0.41,0.34,0.26,0.09,-0.39,0.12,-0.04,-0.14,-0.31,0.02,0.0
EPS in Rs,1.54,0.73,-1.15,0.95,0.73,0.25,-1.09,0.34,-0.11,-0.39,-0.87,0.06,0.0
