,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,49.0,59.0,67.0,70.0,76.0,88.0,89.0,98.0,105.0,108.0,110.0,113.0,112.0
Expenses,42.0,46.0,54.0,54.0,58.0,68.0,70.0,73.0,79.0,80.0,83.0,84.0,85.0
Operating Profit,8.0,13.0,13.0,16.0,18.0,21.0,19.0,24.0,26.0,28.0,27.0,29.0,28.0
OPM %,15.0,21.0,19.0,23.0,23.0,23.0,22.0,25.0,25.0,26.0,25.0,26.0,25.0
Other Income,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,2.0
Interest,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0
Depreciation,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Profit before tax,7.0,12.0,12.0,15.0,17.0,20.0,18.0,23.0,25.0,24.0,25.0,27.0,27.0
Tax %,25.0,26.0,27.0,25.0,25.0,27.0,25.0,26.0,26.0,25.0,24.0,24.0,26.0
Net Profit,5.0,9.0,9.0,11.0,13.0,15.0,13.0,17.0,19.0,18.0,19.0,20.0,20.0
EPS in Rs,0.87,1.54,1.49,1.94,2.23,2.55,2.3,2.97,3.26,3.17,3.28,3.51,3.42
