,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,28.66,23.65,14.19,0.00,0.00,0.00,5.95,0.00,1.5,0.02,0.00,0.00,0.0
Expenses,19.15,18.96,11.18,1.01,0.96,1.00,6.29,2.08,2.09,0.68,58.24,7.15,7.09
Operating Profit,9.51,4.69,3.01,-1.01,-0.96,-1.00,-0.34,-2.08,-0.59,-0.66,-58.24,-7.15,-7.09
OPM %,33.18,19.83,21.21,,,,-5.71,,-39.33,-3300.0,,,
Other Income,0.76,4.39,5.14,2.00,0.01,0.77,0.0,1.29,0.04,0.19,-1.51,0.00,0.0
Interest,0.34,0.1,0.3,0.39,0.18,0.06,0.0,0.00,0.0,0.0,0.01,0.00,0.0
Depreciation,4.46,5.56,5.64,0.00,0.00,0.00,0.0,0.00,0.0,0.0,0.00,0.00,0.0
Profit before tax,5.47,3.42,2.21,0.60,-1.13,-0.29,-0.34,-0.79,-0.55,-0.47,-59.76,-7.15,-7.09
Tax %,21.02,0.88,1.36,0.00,0.00,0.00,0.0,0.00,0.0,0.0,0.00,0.00,
Net Profit,4.32,3.38,2.18,0.60,-1.13,-0.29,-0.34,-0.79,-0.55,-0.47,-59.76,-7.15,-7.09
EPS in Rs,2.7,1.83,1.18,0.32,-0.61,-0.16,-0.18,-0.43,-0.3,-0.25,-32.30,-3.86,-3.83
