,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,12,12,12,12,12,13,14,14,14,14,14,14,14.0
Reserves,24,24,25,22,20,19,14,-4,-24,-48,-84,-128,-137.0
Preference Capital,0,0,0,0,0,0,2,2,2,2,3,3,
Borrowings,124,124,126,116,105,104,95,90,98,86,87,92,90.0
Other Liabilities,64,39,50,55,63,64,62,67,65,79,106,122,131.0
Total Liabilities,224,199,214,206,200,200,185,167,152,131,122,100,98.0
Fixed Assets,124,105,107,102,94,88,83,77,73,69,64,45,43.0
CWIP,1,2,4,0,0,0,0,0,0,0,0,0,0.0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Other Assets,99,92,103,103,106,112,102,90,80,62,58,55,55.0
Total Assets,224,199,214,206,200,200,185,167,152,131,122,100,98.0
