,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01
Sales,40.0,263.0,263.0,257.0,310.0,419.0,398.0,467.0
Expenses,24.0,60.0,49.0,45.0,95.0,144.0,266.0,123.0
Operating Profit,16.0,203.0,214.0,212.0,215.0,275.0,132.0,344.0
OPM %,40.0,77.0,81.0,82.0,69.0,66.0,33.0,74.0
Other Income,1.0,10.0,11.0,10.0,-86.0,14.0,15.0,14.0
Interest,11.0,62.0,58.0,52.0,60.0,76.0,88.0,123.0
Depreciation,2.0,14.0,14.0,14.0,15.0,15.0,14.0,14.0
Profit before tax,4.0,137.0,152.0,156.0,54.0,198.0,45.0,220.0
Tax %,10.0,-2.0,-1.0,0.0,1.0,-2.0,-62.0,-1.0
Net Profit,3.0,140.0,153.0,155.0,54.0,202.0,76.0,234.0
EPS in Rs,0.09,3.51,3.83,3.9,1.28,4.11,1.8,4.86
