,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,54.21,213.09,265.72,329.23,427.58,593.17,836.5,795.53,363.67,63.82,48.56,40.58
Expenses,52.26,204.41,256.03,318.3,413.85,571.73,806.99,762.15,349.53,60.09,130.09,132.66
Operating Profit,1.95,8.68,9.69,10.93,13.73,21.44,29.51,33.38,14.14,3.73,-81.53,-92.08
OPM %,3.6,4.07,3.65,3.32,3.21,3.61,3.53,4.2,3.89,5.84,-167.9,-226.91
Other Income,0.04,0.19,-0.02,0.24,0.36,0.79,1.32,1.28,4.65,0.26,85.69,92.08
Interest,1.8,7.35,7.9,6.35,7.29,9.46,12.99,16.72,18.63,17.77,3.51,2.54
Depreciation,0.02,0.09,0.25,0.29,0.33,0.7,0.77,2.35,1.6,0.88,0.54,0.36
Profit before tax,0.17,1.43,1.52,4.53,6.47,12.07,17.07,15.59,-1.44,-14.66,0.11,-2.90
Tax %,47.06,32.87,32.24,35.1,35.24,35.21,36.26,27.71,-3.47,1.84,-109.09,
Net Profit,0.1,0.96,1.03,2.94,4.18,7.82,10.88,11.26,-1.48,-14.39,0.23,-2.79
EPS in Rs,0.01,0.05,0.06,0.07,0.09,0.13,0.18,0.18,-0.02,-0.24,0.0,-0.05
