,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Expenses,0.22,0.02,0.10,0.07,0.05,0.03,0.04,0.29,0.06,0.23,0.04,0.05,0.20
Operating Profit,-0.22,-0.02,-0.10,-0.07,-0.05,-0.03,-0.04,-0.29,-0.06,-0.23,-0.04,-0.05,-0.20
OPM %,,,,,,,,,,,,,
Other Income,0.12,0.14,0.20,0.13,0.15,0.14,0.15,0.12,0.18,0.14,0.15,0.12,0.14
Interest,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00
Depreciation,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.42,0.43,0.43
Profit before tax,-0.53,-0.31,-0.33,-0.37,-0.33,-0.32,-0.32,-0.60,-0.31,-0.52,-0.35,-0.36,-0.49
Tax %,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Net Profit,-0.53,-0.31,-0.32,-0.37,-0.33,-0.31,-0.32,-0.60,-0.31,-0.52,-0.35,-0.36,-0.49
EPS in Rs,-0.07,-0.04,-0.05,-0.05,-0.05,-0.04,-0.05,-0.08,-0.04,-0.07,-0.05,-0.05,-0.07
