,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,34.66,35.63,39.73,38.5,51.61,55.95,61.31,31.99,43.11,39.57,66.32,38.95,26.57
Expenses,32.35,32.9,34.85,27.98,36.07,36.48,32.87,23.73,35.72,32.67,55.7,37.23,29.33
Operating Profit,2.31,2.73,4.88,10.52,15.54,19.47,28.44,8.26,7.39,6.9,10.62,1.72,-2.76
OPM %,6.66,7.66,12.28,27.32,30.11,34.8,46.39,25.82,17.14,17.44,16.01,4.42,-10.39
Other Income,0.31,0.43,-10.05,0.86,1.52,1.39,1.37,1.91,2.32,1.86,1.11,2.06,2.54
Interest,0.3,0.28,0.14,0.14,0.04,0.03,0.42,0.07,0.06,0.05,0.17,0.03,0.05
Depreciation,0.46,0.46,0.48,0.39,0.4,0.6,0.7,0.62,0.93,0.92,0.88,0.75,0.82
Profit before tax,1.86,2.42,-5.79,10.85,16.62,20.23,28.69,9.48,8.72,7.79,10.68,3.0,-1.09
Tax %,25.27,26.45,52.85,25.25,25.27,25.21,26.04,25.42,25.69,25.55,31.74,30.0,21.1
Net Profit,1.39,1.78,-2.72,8.11,12.42,15.13,21.21,7.06,6.49,5.8,7.29,2.1,-0.87
EPS in Rs,0.06,0.08,-0.12,0.37,0.56,0.68,0.95,0.32,0.29,0.27,0.34,0.1,-0.04
