,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,0.00,0.00,0.00,1.0,0.39,0.27,0.04,0.00,0.88,0.31,0.00,0.00,0.0
Expenses,0.19,0.16,0.13,1.4,0.38,0.39,0.15,0.11,0.82,0.27,0.13,0.10,0.09
Operating Profit,-0.19,-0.16,-0.13,-0.4,0.01,-0.12,-0.11,-0.11,0.06,0.04,-0.13,-0.10,-0.09
OPM %,,,,-40.0,2.56,-44.44,-275.0,,6.82,12.9,,,
Other Income,0.23,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.0,0.01,-2.85,0.00,0.0
Interest,0.00,0.00,0.00,0.0,0.02,0.01,0.0,0.02,0.03,0.04,0.03,0.00,0.0
Depreciation,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.00,0.00,0.0
Profit before tax,0.03,-0.17,-0.14,-0.4,-0.01,-0.13,-0.11,-0.13,0.03,0.01,-3.01,-0.10,-0.09
Tax %,2000.00,-5.88,-21.43,0.0,-200.0,0.0,0.0,0.00,0.0,0.0,0.00,-10.00,
Net Profit,-0.58,-0.18,-0.17,-0.4,-0.03,-0.13,-0.11,-0.13,0.03,0.01,-3.01,-0.10,-0.1
EPS in Rs,-0.13,-0.04,-0.04,-0.09,-0.01,-0.03,-0.02,-0.03,0.01,0.0,-0.68,-0.02,-0.02
