,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,35.98,43.37,46.17,34.4,40.58,38.2,44.16,47.03,50.66,42.56,45.64,46.59,49.91
Expenses,35.78,44.01,42.04,33.53,36.11,34.93,42.54,43.73,47.21,42.16,41.57,43.1,44.64
Operating Profit,0.2,-0.64,4.13,0.87,4.47,3.27,1.62,3.3,3.45,0.4,4.07,3.49,5.27
OPM %,0.56,-1.48,8.95,2.53,11.02,8.56,3.67,7.02,6.81,0.94,8.92,7.49,10.56
Other Income,0.1,0.19,0.11,0.21,0.23,0.27,0.22,0.14,0.55,0.09,1.36,0.05,0.32
Interest,1.46,1.53,4.21,2.32,2.02,2.25,2.14,2.28,2.22,2.36,2.24,2.24,2.21
Depreciation,1.44,1.33,2.69,1.9,1.83,1.81,1.79,1.77,1.75,1.72,1.7,1.77,1.87
Profit before tax,-2.6,-3.31,-2.66,-3.14,0.85,-0.52,-2.09,-0.61,0.03,-3.59,1.49,-0.47,1.51
Tax %,5.0,-0.3,-3.01,0.0,0.0,0.0,0.96,0.0,0.0,0.0,4.7,-4.26,0.66
Net Profit,-2.43,-3.32,-2.75,-3.12,0.87,-0.51,-2.05,-0.59,0.04,-3.57,1.41,-0.46,1.52
EPS in Rs,-2.17,-2.96,-2.46,-2.79,0.78,-0.46,-1.83,-0.53,0.04,-3.19,1.26,-0.41,1.36
