,2012-03-01,2013-03-01,2014-03-01,2015-03-01,2016-03-01,2017-03-01,2018-03-01,2019-03-01,2020-03-01,2021-03-01,2022-03-01,2023-03-01,2023-09-01
Equity Capital,4,4,4,4,4,4,4,4,4,4,4,4,4
Reserves,14,11,12,12,13,14,18,22,1,13,24,27,31
Borrowings,0,1,12,29,49,39,35,29,29,28,28,30,21
Other Liabilities,34,54,61,85,80,61,40,48,58,47,47,56,69
Total Liabilities,51,69,88,129,146,118,96,103,92,92,102,117,124
Fixed Assets,12,13,16,17,20,19,23,22,21,20,21,23,23
CWIP,0,0,0,1,0,0,0,0,0,1,0,0,0
Investments,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Assets,39,56,72,110,126,99,73,81,70,71,81,93,101
Total Assets,51,69,88,129,146,118,96,103,92,92,102,117,124
