,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,TTM
Sales,81.62,61.17,54.93,55.27,51.78,48.47,52.96,58.32,59.34,53.4,70.25,74.92,76.27
Expenses,83.67,60.09,50.84,52.6,48.29,42.63,47.69,53.06,54.81,48.26,61.38,69.6,71.32
Operating Profit,-2.05,1.08,4.09,2.67,3.49,5.84,5.27,5.26,4.53,5.14,8.87,5.32,4.95
OPM %,-2.51,1.77,7.45,4.83,6.74,12.05,9.95,9.02,7.63,9.63,12.63,7.1,6.49
Other Income,1.73,2.64,1.3,0.78,1.17,-0.86,-0.53,-0.33,-0.95,-0.53,0.85,0.31,0.92
Interest,3.18,2.89,3.29,3.26,2.22,1.62,1.29,1.07,1.16,1.15,1.26,1.6,1.61
Depreciation,1.94,1.45,1.37,1.33,0.91,0.89,0.98,1.3,2.1,2.06,1.89,1.7,1.50
Profit before tax,-5.44,-0.62,0.73,-1.14,1.53,2.47,2.47,2.56,0.32,1.4,6.57,2.33,2.76
Tax %,13.24,45.16,5.48,13.16,17.65,10.93,27.13,25.39,9.38,42.86,25.88,24.46,
Net Profit,-4.72,-0.35,0.69,-0.99,1.26,2.2,1.81,1.91,0.29,0.8,4.87,1.77,2.16
EPS in Rs,-11.87,-0.88,1.74,-2.49,3.17,5.27,4.13,4.15,0.6,1.44,7.11,2.25,2.73
