,2020-09-01,2020-12-01,2021-03-01,2021-06-01,2021-09-01,2021-12-01,2022-03-01,2022-06-01,2022-09-01,2022-12-01,2023-03-01,2023-06-01,2023-09-01
Sales,2.02,2.54,3.1,2.57,3.31,2.44,2.71,2.38,2.71,2.66,2.72,3.24,2.36
Expenses,1.92,2.13,2.65,2.2,2.73,1.98,2.36,2.17,2.51,2.46,2.53,2.95,2.2
Operating Profit,0.1,0.41,0.45,0.37,0.58,0.46,0.35,0.21,0.2,0.2,0.19,0.29,0.16
OPM %,4.95,16.14,14.52,14.4,17.52,18.85,12.92,8.82,7.38,7.52,6.99,8.95,6.78
Other Income,0.39,0.04,0.0,0.01,0.01,0.23,0.02,0.01,0.0,0.0,0.00,0.01,0.05
Interest,0.11,0.1,0.09,0.1,0.08,0.07,0.09,0.06,0.06,0.07,0.13,0.06,0.06
Depreciation,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06
Profit before tax,0.32,0.29,0.3,0.22,0.45,0.56,0.22,0.1,0.08,0.07,0.00,0.18,0.09
Tax %,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Net Profit,0.31,0.29,0.29,0.22,0.45,0.56,0.22,0.1,0.08,0.07,0.00,0.18,0.08
EPS in Rs,0.03,0.03,0.03,0.02,0.04,0.05,0.02,0.01,0.01,0.01,0.00,0.02,0.01
